22/10/2014 23:24:43 - Error:: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'ano' in 'field list', Código:42S22, linha: 108, arquivo: /vagrant/vhosts/licitapro/src/library/DataMapper.php 
22/10/2014 23:24:43 - Error:: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'ano' in 'field list', Código:42S22, linha: 108, arquivo: /vagrant/vhosts/licitapro/src/library/DataMapper.php 
22/10/2014 23:24:43 - Error:: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'ano' in 'field list', Código:42S22, linha: 108, arquivo: /vagrant/vhosts/licitapro/src/library/DataMapper.php 
22/10/2014 23:24:43 - Error:: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'ano' in 'field list', Código:42S22, linha: 108, arquivo: /vagrant/vhosts/licitapro/src/library/DataMapper.php 
22/10/2014 23:24:43 - Error:: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'ano' in 'field list', Código:42S22, linha: 108, arquivo: /vagrant/vhosts/licitapro/src/library/DataMapper.php 
22/10/2014 23:24:43 - Error:: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'ano' in 'field list', Código:42S22, linha: 108, arquivo: /vagrant/vhosts/licitapro/src/library/DataMapper.php 
22/10/2014 23:22:50 - Error:: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'ano' in 'field list', Código:42S22, linha: 108, arquivo: /vagrant/vhosts/licitapro/src/library/DataMapper.php 
22/10/2014 23:22:50 - Error:: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'ano' in 'field list', Código:42S22, linha: 108, arquivo: /vagrant/vhosts/licitapro/src/library/DataMapper.php 
22/10/2014 23:22:50 - Error:: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'ano' in 'field list', Código:42S22, linha: 108, arquivo: /vagrant/vhosts/licitapro/src/library/DataMapper.php 
22/10/2014 23:22:50 - Error:: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'ano' in 'field list', Código:42S22, linha: 108, arquivo: /vagrant/vhosts/licitapro/src/library/DataMapper.php 
22/10/2014 23:22:31 - Error:: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'ano' in 'field list', Código:42S22, linha: 108, arquivo: /vagrant/vhosts/licitapro/src/library/DataMapper.php 
22/10/2014 23:22:31 - Error:: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'ano' in 'field list', Código:42S22, linha: 108, arquivo: /vagrant/vhosts/licitapro/src/library/DataMapper.php 
22/10/2014 23:22:31 - Error:: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'ano' in 'field list', Código:42S22, linha: 108, arquivo: /vagrant/vhosts/licitapro/src/library/DataMapper.php 
22/10/2014 23:22:11 - Error:: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'ano' in 'field list', Código:42S22, linha: 108, arquivo: /vagrant/vhosts/licitapro/src/library/DataMapper.php 
22/10/2014 23:22:11 - Error:: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'ano' in 'field list', Código:42S22, linha: 108, arquivo: /vagrant/vhosts/licitapro/src/library/DataMapper.php 
22/10/2014 23:22:11 - Error:: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'ano' in 'field list', Código:42S22, linha: 108, arquivo: /vagrant/vhosts/licitapro/src/library/DataMapper.php 
22/10/2014 23:22:11 - Error:: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'ano' in 'field list', Código:42S22, linha: 108, arquivo: /vagrant/vhosts/licitapro/src/library/DataMapper.php 
22/10/2014 23:21:45 - Error:: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'ano' in 'field list', Código:42S22, linha: 108, arquivo: /vagrant/vhosts/licitapro/src/library/DataMapper.php 
22/10/2014 23:21:31 - Error:: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'ano' in 'field list', Código:42S22, linha: 108, arquivo: /vagrant/vhosts/licitapro/src/library/DataMapper.php 
22/10/2014 23:21:31 - Error:: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'ano' in 'field list', Código:42S22, linha: 108, arquivo: /vagrant/vhosts/licitapro/src/library/DataMapper.php 
22/10/2014 23:21:31 - Error:: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'ano' in 'field list', Código:42S22, linha: 108, arquivo: /vagrant/vhosts/licitapro/src/library/DataMapper.php 
22/10/2014 23:21:31 - Error:: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'ano' in 'field list', Código:42S22, linha: 108, arquivo: /vagrant/vhosts/licitapro/src/library/DataMapper.php 
